iter	Passed	Remaining
260	837	2370
261	839	2364
262	842	2361
263	845	2356
264	848	2352
265	851	2349
266	854	2346
267	858	2344
268	861	2339
269	863	2334
270	866	2331
271	869	2327
272	871	2321
273	874	2316
274	877	2313
275	879	2307
276	882	2302
277	885	2298
278	887	2293
279	890	2288
280	892	2283
281	894	2278
282	897	2274
283	900	2271
284	903	2267
285	906	2263
286	909	2258
287	911	2253
288	913	2248
289	916	2243
290	918	2238
291	921	2233
292	923	2229
293	926	2225
294	929	2220
295	931	2215
296	934	2212
297	936	2207
298	939	2202
299	941	2197
300	944	2192
301	946	2187
302	949	2183
303	951	2178
304	954	2175
305	956	2170
306	959	2165
307	961	2160
308	964	2156
309	966	2151
310	968	2146
311	971	2142
312	974	2138
313	977	2134
314	979	2129
315	982	2126
316	985	2123
317	987	2118
318	990	2114
319	993	2111
320	996	2107
321	999	2104
322	1002	2101
323	1005	2098
324	1009	2096
325	1012	2092
326	1015	2089
327	1018	2086
328	1020	2082
329	1023	2078
330	1027	2076
331	1030	2072
332	1033	2069
333	1036	2067
334	1039	2063
335	1042	2060
336	1045	2056
337	1048	2053
338	1051	2049
339	1053	2045
340	1057	2043
341	1060	2040
342	1063	2036
343	1066	2033
344	1068	2029
345	1071	2025
346	1074	2022
347	1077	2019
348	1080	2015
349	1083	2012
350	1086	2008
351	1088	2004
352	1092	2001
353	1094	1997
354	1098	1995
355	1100	1991
356	1103	1987
357	1107	1985
358	1110	1982
359	1112	1978
360	1115	1975
361	1118	1971
362	1121	1967
363	1124	1964
364	1126	1960
365	1129	1956
366	1132	1953
367	1135	1950
368	1138	1947
369	1141	1944
370	1144	1940
371	1147	1937
372	1150	1934
373	1153	1930
374	1156	1928
375	1159	1924
376	1162	1920
377	1165	1917
378	1168	1914
379	1171	1912
380	1174	1908
381	1177	1904
382	1180	1901
383	1186	1903
384	1188	1899
385	1191	1895
386	1193	1891
387	1196	1887
388	1199	1883
389	1201	1879
390	1204	1876
391	1207	1872
392	1209	1868
393	1212	1864
394	1214	1860
395	1216	1856
396	1219	1852
397	1221	1848
398	1224	1844
399	1226	1839
400	1229	1835
401	1231	1832
402	1233	1827
403	1236	1824
404	1238	1819
405	1241	1815
406	1243	1811
407	1245	1807
408	1248	1803
409	1250	1799
410	1252	1795
411	1255	1791
412	1257	1787
413	1259	1783
414	1262	1779
415	1265	1775
416	1267	1772
417	1269	1768
418	1272	1764
419	1274	1760
420	1277	1756
421	1279	1752
422	1282	1748
423	1284	1744
424	1286	1741
425	1289	1737
426	1291	1733
427	1294	1729
428	1297	1726
429	1299	1723
430	1302	1719
431	1304	1715
432	1307	1711
433	1309	1707
434	1312	1704
435	1314	1700
436	1317	1697
437	1320	1694
438	1322	1690
439	1325	1686
440	1327	1683
441	1330	1679
442	1332	1675
443	1335	1672
444	1338	1668
445	1340	1665
446	1343	1661
447	1345	1658
448	1348	1654
449	1351	1651
450	1354	1648
451	1357	1645
452	1360	1642
453	1363	1639
454	1365	1635
455	1368	1633
456	1371	1629
457	1374	1626
458	1377	1623
459	1379	1619
460	1382	1616
461	1385	1613
462	1388	1609
463	1391	1607
464	1393	1603
465	1396	1600
466	1399	1597
467	1402	1593
468	1404	1590
469	1407	1587
470	1409	1583
471	1412	1580
472	1415	1577
473	1418	1574
474	1421	1571
475	1424	1568
476	1427	1565
477	1429	1561
478	1433	1559
479	1436	1556
480	1438	1552
481	1441	1549
482	1444	1546
483	1447	1543
484	1450	1540
485	1453	1537
486	1456	1534
487	1459	1531
488	1462	1528
489	1466	1526
490	1469	1522
491	1472	1520
492	1475	1517
493	1478	1514
494	1481	1511
495	1483	1507
496	1486	1503
497	1489	1500
498	1491	1497
499	1494	1494
500	1497	1491
501	1499	1487
502	1502	1484
503	1504	1480
504	1507	1477
505	1509	1473
506	1512	1470
507	1515	1467
508	1517	1463
509	1519	1460
510	1522	1456
511	1524	1453
512	1527	1449
513	1529	1446
514	1531	1442
515	1534	1439
516	1536	1435
517	1539	1432
518	1541	1428
519	1543	1425
520	1546	1421
521	1548	1418
522	1550	1414
523	1553	1410
524	1555	1407
525	1558	1404
526	1560	1400
527	1563	1397
528	1565	1393
529	1567	1390
530	1570	1387
531	1573	1384
532	1575	1380
533	1578	1377
534	1580	1374
535	1583	1370
536	1585	1367
537	1588	1363
538	1590	1360
539	1593	1357
540	1595	1353
541	1597	1350
542	1600	1346
543	1602	1343
544	1604	1339
545	1607	1336
546	1609	1333
547	1611	1329
548	1614	1326
549	1616	1322
550	1619	1319
551	1621	1316
552	1623	1312
553	1626	1309
554	1628	1305
555	1630	1302
556	1633	1299
557	1635	1295
558	1638	1292
559	1641	1289
560	1643	1286
561	1646	1282
562	1648	1279
563	1651	1276
564	1653	1273
565	1656	1269
566	1658	1266
567	1661	1263
568	1664	1260
569	1667	1257
570	1669	1254
571	1671	1251
572	1674	1247
573	1676	1244
574	1678	1240
575	1681	1237
576	1683	1234
577	1686	1230
578	1688	1227
579	1690	1224
580	1693	1221
581	1695	1217
582	1697	1214
583	1700	1211
584	1702	1207
585	1704	1204
586	1707	1201
587	1709	1198
588	1712	1194
589	1715	1192
590	1717	1188
591	1720	1185
592	1723	1182
593	1725	1179
594	1728	1176
595	1730	1173
596	1732	1169
597	1735	1166
598	1737	1163
599	1740	1160
600	1742	1157
601	1745	1154
602	1748	1151
603	1751	1148
604	1754	1145
605	1757	1142
606	1760	1139
607	1763	1136
608	1766	1133
609	1769	1131
610	1772	1128
611	1775	1125
612	1778	1122
613	1780	1119
614	1783	1116
615	1786	1113
616	1789	1110
617	1791	1107
618	1794	1104
619	1797	1101
620	1799	1098
621	1802	1095
622	1805	1092
623	1807	1089
624	1810	1086
625	1813	1083
626	1815	1080
627	1818	1077
628	1821	1074
629	1823	1071
630	1826	1068
631	1829	1065
632	1832	1062
633	1834	1059
634	1837	1056
635	1840	1053
636	1842	1050
637	1845	1047
638	1848	1044
639	1850	1041
640	1853	1038
641	1856	1035
642	1859	1032
643	1861	1029
644	1864	1026
645	1867	1023
646	1869	1020
647	1872	1017
648	1875	1014
649	1877	1011
650	1880	1008
651	1883	1005
652	1885	1002
653	1888	999
654	1891	996
655	1893	993
656	1896	990
657	1899	987
658	1901	984
659	1904	980
660	1906	977
661	1909	974
662	1912	971
663	1914	968
664	1917	965
665	1919	962
666	1922	959
667	1924	956
668	1926	953
669	1929	950
670	1932	947
671	1934	944
672	1936	941
673	1939	937
674	1941	934
675	1943	931
676	1946	928
677	1949	925
678	1951	922
679	1954	919
680	1956	916
681	1959	913
682	1961	910
683	1964	907
684	1966	904
685	1969	901
686	1971	898
687	1974	895
688	1976	892
689	1978	889
690	1981	886
691	1983	882
692	1986	879
693	1988	876
694	1990	873
695	1993	870
696	1995	867
697	1997	864
698	2000	861
699	2002	858
700	2004	855
701	2007	852
702	2010	849
703	2012	846
704	2015	843
705	2017	840
706	2020	837
707	2023	834
708	2026	831
709	2029	828
710	2032	825
711	2034	823
712	2038	820
713	2040	817
714	2043	814
715	2046	811
716	2048	808
717	2051	805
718	2054	802
719	2057	800
720	2059	797
721	2063	794
722	2066	791
723	2069	789
724	2072	786
725	2075	783
726	2078	780
727	2080	777
728	2083	774
729	2086	771
730	2088	768
731	2091	765
732	2094	762
733	2097	760
734	2099	757
735	2102	754
736	2105	751
737	2108	748
738	2111	745
739	2114	742
740	2116	739
741	2119	736
742	2122	734
743	2124	731
744	2127	728
745	2129	725
746	2132	722
747	2135	719
748	2138	716
749	2140	713
750	2143	710
751	2146	707
752	2149	704
753	2152	702
754	2155	699
755	2157	696
756	2160	693
757	2163	690
758	2165	687
759	2168	684
760	2171	681
761	2174	679
762	2176	676
763	2179	673
764	2182	670
765	2185	667
766	2188	664
767	2190	661
768	2193	658
769	2196	656
770	2198	653
771	2202	650
772	2204	647
773	2207	644
774	2210	641
775	2213	638
776	2216	636
777	2218	633
778	2221	630
779	2224	627
780	2226	624
781	2229	621
782	2232	618
783	2234	615
784	2237	612
785	2240	609
786	2242	607
787	2245	604
788	2248	601
789	2252	598
790	2254	595
791	2257	592
792	2260	590
793	2263	587
794	2266	584
795	2268	581
796	2271	578
797	2273	575
798	2276	572
799	2278	569
800	2281	566
801	2283	563
802	2286	560
803	2288	557
804	2291	554
805	2293	551
806	2295	549
807	2298	546
808	2300	543
809	2302	540
810	2305	537
811	2307	534
812	2310	531
813	2312	528
814	2315	525
815	2317	522
816	2320	519
817	2322	516
818	2324	513
819	2327	510
820	2329	507
821	2331	504
822	2334	502
823	2336	499
824	2339	496
825	2341	493
826	2343	490
827	2346	487
828	2348	484
829	2351	481
830	2353	478
831	2356	475
832	2358	472
833	2361	470
834	2364	467
835	2366	464
836	2369	461
837	2371	458
838	2373	455
839	2376	452
840	2378	449
841	2380	446
842	2382	443
843	2385	440
844	2388	438
845	2390	435
846	2393	432
847	2395	429
848	2397	426
849	2400	423
850	2402	420
851	2404	417
852	2406	414
853	2409	411
854	2411	408
855	2413	406
856	2415	403
857	2417	400
858	2420	397
859	2422	394
860	2424	391
861	2426	388
862	2429	385
863	2431	382
864	2433	379
865	2436	376
866	2438	374
867	2440	371
868	2443	368
869	2445	365
870	2448	362
871	2450	359
872	2452	356
873	2454	353
874	2457	351
875	2460	348
876	2462	345
877	2464	342
878	2467	339
879	2469	336
880	2471	333
881	2474	331
882	2476	328
883	2479	325
884	2481	322
885	2484	319
886	2486	316
887	2489	313
888	2491	311
889	2493	308
890	2496	305
891	2498	302
892	2500	299
893	2502	296
894	2505	293
895	2507	291
896	2509	288
897	2512	285
898	2514	282
899	2517	279
900	2520	276
901	2522	274
902	2525	271
903	2527	268
904	2529	265
905	2532	262
906	2534	259
907	2536	257
908	2538	254
909	2541	251
910	2543	248
911	2545	245
912	2547	242
913	2553	240
914	2555	237
915	2558	234
916	2560	231
917	2562	228
918	2564	226
919	2566	223
920	2569	220
921	2571	217
922	2573	214
923	2575	211
924	2577	209
925	2580	206
926	2582	203
927	2584	200
928	2586	197
929	2588	194
930	2591	192
931	2593	189
932	2595	186
933	2597	183
934	2599	180
935	2602	177
936	2604	175
937	2606	172
938	2608	169
939	2611	166
940	2613	163
941	2615	161
942	2617	158
943	2620	155
944	2622	152
945	2624	149
946	2627	147
947	2629	144
948	2631	141
949	2634	138
950	2637	135
951	2639	133
952	2642	130
953	2644	127
954	2647	124
955	2650	121
956	2652	119
957	2655	116
958	2657	113
959	2660	110
960	2662	108
961	2665	105
962	2668	102
963	2670	99
964	2673	96
965	2675	94
966	2678	91
967	2680	88
968	2683	85
969	2685	83
970	2688	80
971	2690	77
972	2693	74
973	2695	71
974	2698	69
975	2701	66
976	2703	63
977	2706	60
978	2709	58
979	2711	55
980	2714	52
981	2717	49
982	2719	47
983	2722	44
984	2725	41
985	2727	38
986	2730	35
987	2733	33
988	2735	30
989	2738	27
990	2740	24
991	2743	22
992	2745	19
993	2748	16
994	2751	13
995	2753	11
996	2756	8
997	2758	5
998	2761	2
999	2764	0
